Date,Indian rupee (INR)
23-04-1982,3248.29
26-04-1982,3347.79
27-04-1982,3278.37
28-04-1982,3333.42
29-04-1982,3261.98
30-04-1982,3322.12
03-05-1982,3320.45
04-05-1982,3197.41
05-05-1982,3159.08
06-05-1982,3089.35
07-05-1982,3100.48
10-05-1982,3024.83
11-05-1982,3025.76
12-05-1982,3064.15
13-05-1982,3066.66
14-05-1982,3075.36
17-05-1982,3131.01
18-05-1982,3164.16
19-05-1982,3212.8
20-05-1982,3213.21
21-05-1982,3193.73
24-05-1982,3090.76
25-05-1982,3035.45
26-05-1982,3088.66
27-05-1982,3027.05
28-05-1982,3072.29
31-05-1982,3072.29
01-06-1982,2994.32
02-06-1982,2948.07
03-06-1982,2996.45
04-06-1982,2968.01
07-06-1982,3012.77
08-06-1982,3105.19
09-06-1982,2994.48
10-06-1982,3098.95
11-06-1982,3057.68
14-06-1982,3053.39
15-06-1982,2980.42
16-06-1982,2999.37
17-06-1982,2984.41
18-06-1982,2931.58
21-06-1982,2830.7
22-06-1982,2857.58
23-06-1982,2858.8
24-06-1982,2943.03
25-06-1982,2900.93
28-06-1982,2890.28
29-06-1982,2961.16
30-06-1982,2971.91
01-07-1982,2968.75
02-07-1982,2995.32
05-07-1982,3034
06-07-1982,3010.8
07-07-1982,2944.47
08-07-1982,2995.34
09-07-1982,3078.84
12-07-1982,3215.26
13-07-1982,3252.87
14-07-1982,3387.91
15-07-1982,3337.61
16-07-1982,3311.83
19-07-1982,3343.88
20-07-1982,3279.58
21-07-1982,3417.83
22-07-1982,3405.93
23-07-1982,3427.74
26-07-1982,3377.85
27-07-1982,3344.1
28-07-1982,3306.47
29-07-1982,3243
30-07-1982,3265.37
02-08-1982,3347.1
03-08-1982,3381.78
04-08-1982,3341.48
05-08-1982,3355.28
06-08-1982,3329.53
09-08-1982,3243.9
10-08-1982,3228.38
11-08-1982,3195.86
12-08-1982,3201.88
13-08-1982,3237.5
16-08-1982,3205.68
17-08-1982,3230.55
18-08-1982,3351.66
19-08-1982,3396.44
20-08-1982,3613.13
23-08-1982,3608.28
24-08-1982,3870.56
25-08-1982,3725.41
26-08-1982,3965.69
27-08-1982,4076.92
30-08-1982,4076.92
31-08-1982,3933.3
01-09-1982,3885.25
02-09-1982,3893.5
03-09-1982,4374.67
06-09-1982,4409.67
07-09-1982,4692.06
08-09-1982,4518.58
09-09-1982,4583.69
10-09-1982,4333.37
13-09-1982,4258.06
14-09-1982,4356.16
15-09-1982,4290.6
16-09-1982,4309.9
17-09-1982,4291.6
20-09-1982,4100.47
